customer_id,customer_name,segment,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,customer_segment
CU-101614,"Robert Williams",Consumer,228,1,1299.07,4,5,5,14,Champion
CU-100725,"Elizabeth Williams",Corporate,272,1,1296.75,4,5,5,14,Champion
CU-102006,"John Rodriguez",Corporate,168,1,1225.54,4,5,5,14,Champion
CU-101916,"Lisa Jones",Consumer,134,1,1222.76,4,5,5,14,Champion
CU-100877,"James Lopez","Home Office",125,1,1206.67,4,5,5,14,Champion
CU-101981,"Michael Garcia",Corporate,122,1,1100.70,4,5,5,14,Champion
CU-102310,"Robert Johnson","Home Office",183,1,1068.30,4,5,5,14,Champion
CU-102553,"Patricia Gonzalez",Consumer,179,1,1039.49,4,5,5,14,Champion
CU-101707,"John Anderson","Home Office",202,1,1021.90,4,5,5,14,Champion
CU-102595,"Elizabeth Miller",Corporate,192,1,999.82,4,5,5,14,Champion
CU-100838,"John Wilson",Consumer,132,1,995.56,4,5,5,14,Champion
CU-101813,"Jennifer Rodriguez","Home Office",125,1,992.74,4,5,5,14,Champion
CU-100847,"Joseph Smith",Consumer,144,1,961.16,4,5,5,14,Champion
CU-102701,"Richard Rodriguez",Consumer,166,1,833.93,4,5,5,14,Champion
CU-100831,"Elizabeth Anderson",Consumer,135,1,782.86,4,5,5,14,Champion
CU-101870,"Elizabeth Smith",Consumer,272,1,727.82,4,5,5,14,Champion
CU-100388,"William Brown","Home Office",144,1,645.06,4,5,5,14,Champion
CU-101630,"Richard Jones",Consumer,263,1,622.70,4,5,5,14,Champion
CU-100918,"John Hernandez","Home Office",237,1,581.16,4,5,5,14,Champion
CU-100510,"Linda Jones",Consumer,229,1,566.98,4,5,5,14,Champion
CU-101292,"Joseph Miller",Corporate,139,1,550.76,4,5,5,14,Champion
CU-100699,"Joseph Anderson",Consumer,145,1,500.25,4,5,5,14,Champion
CU-101632,"Richard Jones","Home Office",122,1,486.24,4,5,5,14,Champion
CU-102126,"Joseph Rodriguez","Home Office",184,1,474.75,4,5,5,14,Champion
CU-100507,"Emma Gonzalez","Home Office",176,1,457.31,4,5,5,14,Champion
CU-101520,"Linda Anderson",Consumer,223,1,369.70,4,5,5,14,Champion
CU-100789,"Michael Garcia",Corporate,167,1,288.14,4,5,5,14,Champion
CU-102257,"Linda Miller",Corporate,258,1,267.02,4,5,5,14,Champion
CU-100008,"Joseph Rodriguez",Consumer,257,1,226.95,4,5,5,14,Champion
CU-101180,"Richard Davis",Corporate,262,1,91.83,4,5,5,14,Champion
CU-100970,"Emma Williams",Corporate,189,1,38.88,4,5,5,14,Champion
CU-101375,"Linda Smith","Home Office",42,1,5722.90,5,5,3,13,Loyal
CU-101112,"Robert Rodriguez",Consumer,87,1,5567.18,5,5,3,13,Loyal
CU-100125,"Elizabeth Smith","Home Office",63,1,5467.78,5,5,3,13,Loyal
CU-100702,"Robert Hernandez","Home Office",74,1,5404.20,5,5,3,13,Loyal
CU-102373,"Robert Lopez",Consumer,79,1,5336.37,5,5,3,13,Loyal
CU-102653,"Joseph Hernandez","Home Office",110,1,5230.51,5,5,3,13,Loyal
CU-102025,"David Johnson",Corporate,118,1,5139.93,5,5,3,13,Loyal
CU-100993,"Mary Brown",Consumer,120,1,5024.23,5,5,3,13,Loyal
CU-102500,"Lisa Williams","Home Office",52,1,5008.63,5,5,3,13,Loyal
CU-100519,"John Smith","Home Office",37,1,4819.15,5,5,3,13,Loyal
CU-101389,"Linda Williams",Consumer,9,1,4745.27,5,5,3,13,Loyal
CU-101024,"Patricia Williams",Corporate,120,1,4557.05,5,5,3,13,Loyal
CU-101262,"Richard Williams","Home Office",3,1,4351.22,5,5,3,13,Loyal
CU-102052,"William Martinez",Consumer,18,1,4347.20,5,5,3,13,Loyal
CU-101372,"William Rodriguez",Corporate,60,1,4298.81,5,5,3,13,Loyal
CU-102884,"David Wilson",Consumer,68,1,4176.04,5,5,3,13,Loyal
CU-102687,"Sarah Anderson",Consumer,32,1,4117.32,5,5,3,13,Loyal
CU-102999,"Richard Gonzalez",Corporate,42,1,4104.06,5,5,3,13,Loyal
CU-100810,"Linda Davis",Corporate,0,1,4091.95,5,5,3,13,Loyal
CU-102139,"Joseph Brown","Home Office",74,1,4089.94,5,5,3,13,Loyal
CU-101108,"Robert Hernandez",Corporate,41,1,3957.38,5,5,3,13,Loyal
CU-101185,"Sarah Martinez","Home Office",123,1,3848.36,4,5,4,13,Champion
CU-101938,"Elizabeth Smith",Corporate,183,1,3832.51,4,5,4,13,Champion
CU-102490,"John Jones","Home Office",199,1,3827.01,4,5,4,13,Champion
CU-100229,"Mary Lopez",Corporate,262,1,3751.95,4,5,4,13,Champion
CU-100602,"Patricia Rodriguez",Consumer,224,1,3682.60,4,5,4,13,Champion
CU-101603,"James Anderson",Consumer,164,1,3556.69,4,5,4,13,Champion
CU-102205,"Robert Garcia",Corporate,218,1,3538.71,4,5,4,13,Champion
CU-100224,"Robert Martinez",Corporate,230,1,3515.84,4,5,4,13,Champion
CU-101993,"James Lopez","Home Office",125,1,3436.54,4,5,4,13,Champion
CU-101998,"Joseph Garcia",Consumer,248,1,3361.03,4,5,4,13,Champion
CU-100275,"Michael Williams","Home Office",138,1,3345.36,4,5,4,13,Champion
CU-100549,"Jennifer Martinez","Home Office",218,1,3323.09,4,5,4,13,Champion
CU-101994,"Patricia Williams",Corporate,165,1,3232.58,4,5,4,13,Champion
CU-102757,"Patricia Hernandez",Consumer,138,1,3228.20,4,5,4,13,Champion
CU-102351,"Linda Johnson","Home Office",259,1,3189.83,4,5,4,13,Champion
CU-102186,"David Gonzalez",Consumer,151,1,3182.72,4,5,4,13,Champion
CU-101802,"Richard Miller",Consumer,275,1,3144.30,4,5,4,13,Champion
CU-102089,"James Gonzalez",Corporate,213,1,3144.17,4,5,4,13,Champion
CU-100168,"Michael Hernandez",Consumer,258,1,3143.38,4,5,4,13,Champion
CU-102649,"Sarah Martinez",Consumer,167,1,3142.35,4,5,4,13,Champion
CU-100420,"John Garcia",Corporate,183,1,3136.52,4,5,4,13,Champion
CU-102943,"Jennifer Wilson","Home Office",178,1,3131.26,4,5,4,13,Champion
CU-101032,"Emma Lopez",Consumer,250,1,3084.25,4,5,4,13,Champion
CU-101312,"Linda Gonzalez",Corporate,179,1,3076.63,4,5,4,13,Champion
CU-102957,"Patricia Wilson","Home Office",181,1,2988.63,4,5,4,13,Champion
CU-100222,"John Martinez","Home Office",254,1,2843.66,4,5,4,13,Champion
CU-102984,"Elizabeth Rodriguez",Corporate,158,1,2772.19,4,5,4,13,Champion
CU-100006,"James Johnson",Consumer,180,1,2628.36,4,5,4,13,Champion
CU-100280,"Joseph Miller",Corporate,231,1,2607.49,4,5,4,13,Champion
CU-102353,"William Brown",Consumer,162,1,2567.38,4,5,4,13,Champion
CU-100595,"Patricia Smith",Corporate,145,1,2557.39,4,5,4,13,Champion
CU-102128,"Emma Williams",Consumer,247,1,2485.51,4,5,4,13,Champion
CU-102867,"Lisa Johnson",Consumer,171,1,2458.81,4,5,4,13,Champion
CU-101865,"Mary Garcia","Home Office",159,1,2409.15,4,5,4,13,Champion
CU-101523,"Elizabeth Miller",Consumer,270,1,2388.58,4,5,4,13,Champion
CU-102925,"David Rodriguez","Home Office",244,1,2386.12,4,5,4,13,Champion
CU-102137,"Robert Wilson",Corporate,185,1,2270.27,4,5,4,13,Champion
CU-102616,"James Martinez",Corporate,190,1,2232.65,4,5,4,13,Champion
CU-101480,"John Davis",Corporate,196,1,2209.96,4,5,4,13,Champion
CU-101756,"Emma Brown","Home Office",207,1,2110.25,4,5,4,13,Champion
CU-100574,"Michael Johnson","Home Office",213,1,2103.11,4,5,4,13,Champion
CU-101021,"John Smith","Home Office",192,1,2085.26,4,5,4,13,Champion
CU-102113,"Sarah Martinez","Home Office",346,1,2049.60,3,5,5,13,Loyal
CU-100086,"Emma Anderson",Corporate,376,1,2039.19,3,5,5,13,Loyal
CU-102239,"Joseph Wilson",Corporate,317,1,2012.84,3,5,5,13,Loyal
CU-102210,"Robert Gonzalez","Home Office",419,1,1988.74,3,5,5,13,Loyal
CU-102658,"Michael Williams",Corporate,318,1,1971.14,3,5,5,13,Loyal
CU-101364,"Robert Gonzalez",Consumer,73,2,1965.01,5,3,5,13,Loyal
CU-102335,"Michael Davis",Consumer,346,1,1936.33,3,5,5,13,Loyal
CU-101906,"John Garcia",Consumer,70,2,1929.30,5,3,5,13,Loyal
CU-101835,"Sarah Hernandez",Corporate,426,1,1879.35,3,5,5,13,Loyal
CU-100169,"Linda Johnson","Home Office",329,1,1863.40,3,5,5,13,Loyal
CU-101792,"Jennifer Brown",Consumer,293,1,1854.25,3,5,5,13,Loyal
CU-101090,"Emma Williams",Corporate,281,1,1852.73,3,5,5,13,Loyal
CU-100934,"Elizabeth Davis",Corporate,392,1,1837.22,3,5,5,13,Loyal
CU-101285,"Robert Hernandez",Consumer,364,1,1833.72,3,5,5,13,Loyal
CU-101357,"Sarah Lopez",Consumer,341,1,1824.15,3,5,5,13,Loyal
CU-100342,"Jennifer Lopez",Consumer,411,1,1767.61,3,5,5,13,Loyal
CU-102594,"William Davis",Consumer,375,1,1716.53,3,5,5,13,Loyal
CU-101192,"David Davis","Home Office",285,1,1666.93,3,5,5,13,Loyal
CU-101872,"Michael Davis",Consumer,322,1,1533.82,3,5,5,13,Loyal
CU-100392,"Michael Smith","Home Office",449,1,1513.30,3,5,5,13,Loyal
CU-100124,"Richard Jones",Corporate,285,1,1492.84,3,5,5,13,Loyal
CU-101594,"Jennifer Lopez",Consumer,357,1,1488.48,3,5,5,13,Loyal
CU-102918,"Patricia Jones",Corporate,349,1,1444.06,3,5,5,13,Loyal
CU-102456,"Michael Miller","Home Office",462,1,1411.68,3,5,5,13,Loyal
CU-102474,"William Garcia","Home Office",93,2,1396.21,5,3,5,13,Loyal
CU-102244,"John Rodriguez","Home Office",311,1,1323.51,3,5,5,13,Loyal
CU-101808,"Linda Davis","Home Office",320,1,1320.10,3,5,5,13,Loyal
CU-100401,"Jennifer Williams",Consumer,394,1,1307.33,3,5,5,13,Loyal
CU-101583,"James Martinez",Consumer,364,1,1290.81,3,5,5,13,Loyal
CU-100968,"Michael Brown",Corporate,295,1,1285.53,3,5,5,13,Loyal
CU-100582,"John Lopez","Home Office",362,1,1250.73,3,5,5,13,Loyal
CU-102743,"James Rodriguez",Corporate,313,1,1243.91,3,5,5,13,Loyal
CU-102854,"Linda Smith","Home Office",391,1,1243.71,3,5,5,13,Loyal
CU-100575,"Mary Garcia",Corporate,84,2,1242.66,5,3,5,13,Loyal
CU-102279,"Jennifer Lopez",Corporate,456,1,1241.95,3,5,5,13,Loyal
CU-101008,"Michael Rodriguez",Consumer,282,1,1216.91,3,5,5,13,Loyal
CU-100020,"Richard Garcia",Consumer,321,1,1209.92,3,5,5,13,Loyal
CU-100736,"Linda Hernandez",Consumer,91,2,1204.65,5,3,5,13,Loyal
CU-100011,"Michael Wilson",Consumer,384,1,1177.44,3,5,5,13,Loyal
CU-102668,"William Williams","Home Office",460,1,1131.64,3,5,5,13,Loyal
CU-100430,"James Rodriguez",Corporate,455,1,1127.36,3,5,5,13,Loyal
CU-100743,"Michael Davis",Consumer,453,1,1106.88,3,5,5,13,Loyal
CU-101174,"Linda Miller",Corporate,336,1,1101.70,3,5,5,13,Loyal
CU-102256,"Patricia Williams","Home Office",428,1,979.04,3,5,5,13,Loyal
CU-100940,"William Wilson",Consumer,415,1,960.30,3,5,5,13,Loyal
CU-102650,"Elizabeth Williams",Corporate,340,1,956.16,3,5,5,13,Loyal
CU-102158,"Jennifer Anderson","Home Office",416,1,947.61,3,5,5,13,Loyal
CU-100397,"Robert Garcia","Home Office",368,1,922.06,3,5,5,13,Loyal
CU-101070,"John Williams",Consumer,439,1,906.03,3,5,5,13,Loyal
CU-102167,"David Miller",Corporate,334,1,878.92,3,5,5,13,Loyal
CU-100749,"Patricia Gonzalez","Home Office",450,1,723.54,3,5,5,13,Loyal
CU-101597,"Robert Miller",Consumer,358,1,695.23,3,5,5,13,Loyal
CU-102704,"Michael Hernandez",Consumer,20,2,690.61,5,3,5,13,Loyal
CU-101396,"Jennifer Johnson",Corporate,290,1,619.51,3,5,5,13,Loyal
CU-102556,"Sarah Miller",Consumer,282,1,493.99,3,5,5,13,Loyal
CU-100355,"Patricia Wilson",Consumer,419,1,449.63,3,5,5,13,Loyal
CU-101352,"Elizabeth Miller",Consumer,305,1,426.74,3,5,5,13,Loyal
CU-100781,"Jennifer Hernandez",Consumer,456,1,419.66,3,5,5,13,Loyal
CU-100863,"James Garcia","Home Office",339,1,392.96,3,5,5,13,Loyal
CU-102567,"Emma Brown",Consumer,347,1,385.36,3,5,5,13,Loyal
CU-100603,"Robert Miller",Consumer,283,1,374.40,3,5,5,13,Loyal
CU-102888,"Lisa Williams","Home Office",304,1,373.35,3,5,5,13,Loyal
CU-100955,"Richard Garcia",Corporate,444,1,351.80,3,5,5,13,Loyal
CU-102739,"Linda Brown",Consumer,400,1,335.26,3,5,5,13,Loyal
CU-101004,"John Davis",Consumer,433,1,323.32,3,5,5,13,Loyal
CU-101067,"Mary Johnson","Home Office",398,1,320.58,3,5,5,13,Loyal
CU-101402,"Emma Davis",Corporate,329,1,204.12,3,5,5,13,Loyal
CU-101278,"Joseph Brown",Consumer,402,1,191.61,3,5,5,13,Loyal
CU-100262,"Joseph Miller",Corporate,362,1,174.00,3,5,5,13,Loyal
CU-102076,"Patricia Anderson","Home Office",331,1,155.77,3,5,5,13,Loyal
CU-100560,"William Wilson",Corporate,330,1,131.13,3,5,5,13,Loyal
CU-102368,"William Garcia",Corporate,410,1,111.56,3,5,5,13,Loyal
CU-101136,"David Williams",Corporate,450,1,87.02,3,5,5,13,Loyal
CU-101132,"Richard Smith",Corporate,461,1,71.58,3,5,5,13,Loyal
CU-100813,"Jennifer Lopez",Corporate,398,1,52.90,3,5,5,13,Loyal
CU-102181,"Emma Lopez","Home Office",50,1,8047.10,5,5,2,12,Potential
CU-101535,"Linda Jones",Consumer,102,1,7941.51,5,5,2,12,Potential
CU-100069,"William Rodriguez",Corporate,85,1,7743.01,5,5,2,12,Potential
CU-102858,"Robert Gonzalez",Consumer,109,1,7526.50,5,5,2,12,Potential
CU-100752,"Michael Miller","Home Office",44,1,7375.10,5,5,2,12,Potential
CU-101073,"James Miller",Corporate,52,1,7363.67,5,5,2,12,Potential
CU-100456,"Elizabeth Garcia",Consumer,65,1,7229.90,5,5,2,12,Potential
CU-101451,"David Lopez",Corporate,106,1,7130.01,5,5,2,12,Potential
CU-100047,"Linda Williams",Corporate,62,1,6459.94,5,5,2,12,Potential
CU-100283,"Jennifer Miller","Home Office",104,1,6325.01,5,5,2,12,Potential
CU-101862,"David Martinez",Consumer,97,1,6141.24,5,5,2,12,Potential
CU-100395,"Richard Jones",Corporate,267,1,5901.38,4,5,3,12,Loyal
CU-100994,"Sarah Garcia",Consumer,199,1,5772.52,4,5,3,12,Loyal
CU-100170,"William Wilson",Consumer,201,1,5757.38,4,5,3,12,Loyal
CU-100211,"Patricia Miller",Consumer,257,1,5679.32,4,5,3,12,Loyal
CU-100779,"Lisa Wilson",Corporate,143,1,5654.67,4,5,3,12,Loyal
CU-100849,"Emma Miller","Home Office",266,1,5272.59,4,5,3,12,Loyal
CU-100747,"Joseph Jones",Consumer,208,1,5263.78,4,5,3,12,Loyal
CU-100321,"Sarah Hernandez",Corporate,140,1,5241.72,4,5,3,12,Loyal
CU-101358,"Elizabeth Anderson","Home Office",166,1,5239.16,4,5,3,12,Loyal
CU-101046,"Robert Williams",Corporate,156,1,5143.88,4,5,3,12,Loyal
CU-102773,"Sarah Hernandez","Home Office",191,1,5121.92,4,5,3,12,Loyal
CU-100059,"Robert Hernandez","Home Office",130,1,5108.99,4,5,3,12,Loyal
CU-101065,"William Jones","Home Office",266,1,5088.89,4,5,3,12,Loyal
CU-102278,"Jennifer Hernandez",Consumer,224,1,4956.74,4,5,3,12,Loyal
CU-100876,"David Miller","Home Office",272,1,4932.11,4,5,3,12,Loyal
CU-100095,"Richard Rodriguez",Consumer,129,1,4923.87,4,5,3,12,Loyal
CU-101580,"Linda Martinez","Home Office",134,1,4898.81,4,5,3,12,Loyal
CU-101218,"Michael Davis","Home Office",158,1,4823.54,4,5,3,12,Loyal
CU-101072,"Michael Williams",Consumer,181,1,4754.92,4,5,3,12,Loyal
CU-101854,"David Wilson","Home Office",191,1,4635.00,4,5,3,12,Loyal
CU-102976,"Jennifer Davis","Home Office",184,1,4604.86,4,5,3,12,Loyal
CU-101304,"Mary Gonzalez","Home Office",243,1,4556.31,4,5,3,12,Loyal
CU-102518,"Jennifer Garcia",Consumer,247,1,4515.40,4,5,3,12,Loyal
CU-100501,"Robert Wilson",Corporate,131,1,4473.39,4,5,3,12,Loyal
CU-101748,"Sarah Martinez",Corporate,179,1,4451.01,4,5,3,12,Loyal
CU-101950,"Elizabeth Smith",Corporate,236,1,4346.68,4,5,3,12,Loyal
CU-100786,"Robert Davis",Corporate,243,1,4193.86,4,5,3,12,Loyal
CU-102096,"Jennifer Hernandez",Corporate,170,1,4159.76,4,5,3,12,Loyal
CU-101443,"James Lopez",Consumer,237,1,4154.11,4,5,3,12,Loyal
CU-101347,"James Johnson",Corporate,165,1,4142.60,4,5,3,12,Loyal
CU-101787,"Linda Wilson",Corporate,252,1,4127.57,4,5,3,12,Loyal
CU-102882,"Michael Hernandez","Home Office",121,1,4100.05,4,5,3,12,Loyal
CU-102775,"William Anderson","Home Office",135,1,4033.03,4,5,3,12,Loyal
CU-101370,"John Williams",Consumer,168,1,3984.57,4,5,3,12,Loyal
CU-101448,"Michael Rodriguez",Corporate,204,1,3945.77,4,5,3,12,Loyal
CU-100126,"Jennifer Hernandez",Consumer,102,2,3897.54,5,3,4,12,Loyal
CU-102609,"Joseph Lopez",Corporate,87,2,3894.79,5,3,4,12,Loyal
CU-102470,"David Martinez",Corporate,461,1,3879.86,3,5,4,12,Loyal
CU-101445,"John Miller","Home Office",91,2,3873.82,5,3,4,12,Loyal
